Observatory;Data_year;agglomeration;Zone_complementaire;Type_habitat;epoque_construction_homogene;anciennete_locataire_homogene;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production,,,,,,
B1300;2020;Agglomération d'Aix-Marseille;;;;;;9,1;10,5;12,5;15,0;17,7;12,0;450;532;660;810;1080;722;60;33777;216783;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Maison 1-3P;9,6;10,9;12,7;15,1;18,8;12,5;520;600;750;880;1003;759;61;656;14842;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Ensemble 4P+;7,6;9,3;10,6;12,4;14,8;10,8;650;769;972;1236;1503;1046;97;4825;47153;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Maison 4P+;7,7;9,4;11,2;14,0;16,0;11,3;800;1000;1212;1400;1700;1270;112;960;16782;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Appart 1P;12,2;13,8;16,7;20,0;23,3;16,4;341;395;450;503;565;452;28;5662;29291;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Appart 2P;10,4;12,0;14,1;15,9;18,0;13,8;450;500;575;650;720;582;42;11833;62166;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Appart 3P;8,8;10,0;11,4;13,0;14,5;11,4;571;640;719;808;916;733;65;10801;63332;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Appart 4P+;7,6;9,2;10,3;11,6;13,6;10,5;610;710;850;1036;1290;919;88;3865;30371;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Ensemble 1P;12,2;13,9;16,7;20,4;23,7;16,5;344;400;450;510;563;454;27;5682;30102;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Ensemble 2P;10,3;11,8;14,0;16,0;18,0;13,8;450;505;580;653;721;585;43;11997;66915;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;;Ensemble 3P;8,8;10,1;11,5;13,2;14,6;11,4;580;640;730;824;950;747;65;11273;72614;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;1. Moins de 1 an;;9,9;11,3;13,5;15,6;18,3;12,9;460;550;680;840;1140;744;58;8921;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;1. Moins de 1 an;Ensemble 4P+;8,4;10,0;11,2;13,8;14,9;11,7;695;803;1000;1320;1600;1106;95;1059;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;1. Moins de 1 an;Ensemble 1P;12,9;14,2;16,7;20,0;23,3;16,7;370;410;460;530;585;470;28;1590;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;1. Moins de 1 an;Ensemble 2P;11,5;13,0;14,7;16,5;18,7;14,6;480;540;600;680;740;611;42;3414;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;1. Moins de 1 an;Ensemble 3P;9,5;10,6;12,1;13,8;15,1;12,2;600;675;750;860;980;780;64;2858;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;2. 1 an et plus;;8,9;10,3;12,1;14,7;17,6;11,7;439;520;650;800;1046;714;61;24856;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;2. 1 an et plus;Ensemble 4P+;7,5;9,0;10,4;11,9;14,4;10,5;647;750;950;1212;1411;1024;97;3766;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;2. 1 an et plus;Ensemble 1P;11,8;13,4;16,7;20,4;24,0;16,4;339;386;450;500;552;446;27;4092;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;2. 1 an et plus;Ensemble 2P;10,0;11,5;13,5;15,6;17,8;13,4;447;498;563;647;717;574;43;8583;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;;2. 1 an et plus;Ensemble 3P;8,6;10,0;11,3;12,9;14,5;11,2;559;635;720;810;950;735;66;8415;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;;;8,9;10,3;12,4;15,0;17,9;11,7;410;498;600;730;928;647;55;10708;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;;Ensemble 4P+;6,7;8,4;10,0;11,3;14,2;9,8;595;770;985;1212;1400;1006;102;1149;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;;Ensemble 1P;11,8;13,1;15,8;20,4;24,0;15,9;343;387;450;509;550;446;28;2341;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;;Ensemble 2P;10,0;11,3;13,4;15,5;17,6;13,3;435;488;550;620;700;560;42;4380;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;;Ensemble 3P;8,3;9,8;11,0;12,7;14,0;10,9;565;614;691;780;887;706;65;2838;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;;10,0;11,6;13,8;16,1;18,6;13,0;450;520;610;750;965;680;52;2530;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;Maison 1-3P;8,3;10,9;13,2;14,6;16,4;12,5;551;600;690;950;1003;781;62;79;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;Maison 4P+;8,1;9,7;14,0;14,0;14,8;12,1;1087;1100;1230;1400;1400;1297;107;59;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;Appart 1P;12,7;13,8;16,7;21,3;25,3;16,7;360;400;460;539;600;470;28;622;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;Appart 2P;11,5;12,8;14,2;16,2;18,1;14,4;460;510;565;650;720;581;40;1015;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;Appart 3P;9,1;10,0;11,6;13,3;15,2;11,6;600;650;710;795;910;736;63;596;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;1. Moins de 1 an;Appart 4P+;7,3;9,9;11,0;13,3;15,3;11,0;780;808;940;1280;1650;1100;100;159;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;;8,6;10,0;11,8;14,7;17,6;11,3;400;490;600;725;900;636;56;8178;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;Maison 1-3P;9,7;10,3;12,0;13,9;20,4;11,6;510;550;600;799;880;671;58;172;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;Maison 4P+;4,9;7,6;10,0;11,0;13,4;8,9;920;1000;1135;1224;1513;1177;132;155;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;Appart 1P;11,3;12,9;15,2;19,6;22,3;15,2;336;379;430;480;520;429;28;1712;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;Appart 2P;9,9;11,1;13,0;15,1;17,3;13,0;420;464;530;600;673;543;42;3301;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;Appart 3P;8,0;9,6;10,9;12,2;13,4;10,6;524;615;669;750;830;681;64;2062;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;1. Avant 1946;2. 1 an et plus;Appart 4P+;6,2;8,4;9,5;10,7;12,8;9,6;572;684;847;1100;1250;900;94;776;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;;;8,6;10,0;11,4;13,7;16,7;11,3;456;535;650;765;945;695;61;7732;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;;Ensemble 4P+;7,3;9,3;10,2;11,7;13,8;10,5;647;700;790;950;1300;907;87;1499;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;;Ensemble 1P;12,1;14,8;16,7;20,4;24,0;16,9;350;400;453;500;560;459;27;1032;;Estimation directe
B1300;2020;Agglomération d'Aix-Marseille;;;2. Entre 1946-1970;;Ensemble 2P;10,4;11,5;12,9;15,2;17,5;13,1;450;500;550;630;695;569;43;1968;;Estimation directe
