,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
0,0,0,0,0,,,,,,9.1,10.5,12.5,15.0,17.7,12.0,450.0,532.0,660.0,810.0,1080.0,722.0,60.0,33777.0,216783.0,0.0
1,1,0,0,0,,1.0,,,1.0,9.6,10.9,12.7,15.1,18.8,12.5,520.0,600.0,750.0,880.0,1003.0,759.0,61.0,656.0,14842.0,0.0
2,2,0,0,0,,2.0,,,2.0,7.6,9.3,10.6,12.4,14.8,10.8,650.0,769.0,972.0,1236.0,1503.0,1046.0,97.0,4825.0,47153.0,0.0
3,3,0,0,0,,1.0,,,3.0,7.7,9.4,11.2,14.0,16.0,11.3,800.0,1000.0,1212.0,1400.0,1700.0,1270.0,112.0,960.0,16782.0,0.0
4,4,0,0,0,,3.0,,,4.0,12.2,13.8,16.7,20.0,23.3,16.4,341.0,395.0,450.0,503.0,565.0,452.0,28.0,5662.0,29291.0,0.0
5,5,0,0,0,,3.0,,,5.0,10.4,12.0,14.1,15.9,18.0,13.8,450.0,500.0,575.0,650.0,720.0,582.0,42.0,11833.0,62166.0,0.0
6,6,0,0,0,,3.0,,,6.0,8.8,10.0,11.4,13.0,14.5,11.4,571.0,640.0,719.0,808.0,916.0,733.0,65.0,10801.0,63332.0,0.0
7,7,0,0,0,,3.0,,,7.0,7.6,9.2,10.3,11.6,13.6,10.5,610.0,710.0,850.0,1036.0,1290.0,919.0,88.0,3865.0,30371.0,0.0
8,8,0,0,0,,2.0,,,8.0,12.2,13.9,16.7,20.4,23.7,16.5,344.0,400.0,450.0,510.0,563.0,454.0,27.0,5682.0,30102.0,0.0
9,9,0,0,0,,2.0,,,9.0,10.3,11.8,14.0,16.0,18.0,13.8,450.0,505.0,580.0,653.0,721.0,585.0,43.0,11997.0,66915.0,0.0
10,10,0,0,0,,2.0,,,10.0,8.8,10.1,11.5,13.2,14.6,11.4,580.0,640.0,730.0,824.0,950.0,747.0,65.0,11273.0,72614.0,0.0
11,11,0,0,0,,,,1.0,,9.9,11.3,13.5,15.6,18.3,12.9,460.0,550.0,680.0,840.0,1140.0,744.0,58.0,8921.0,,0.0
12,12,0,0,0,,2.0,,1.0,2.0,8.4,10.0,11.2,13.8,14.9,11.7,695.0,803.0,1000.0,1320.0,1600.0,1106.0,95.0,1059.0,,0.0
13,13,0,0,0,,2.0,,1.0,8.0,12.9,14.2,16.7,20.0,23.3,16.7,370.0,410.0,460.0,530.0,585.0,470.0,28.0,1590.0,,0.0
14,14,0,0,0,,2.0,,1.0,9.0,11.5,13.0,14.7,16.5,18.7,14.6,480.0,540.0,600.0,680.0,740.0,611.0,42.0,3414.0,,0.0
15,15,0,0,0,,2.0,,1.0,10.0,9.5,10.6,12.1,13.8,15.1,12.2,600.0,675.0,750.0,860.0,980.0,780.0,64.0,2858.0,,0.0
16,16,0,0,0,,,,2.0,,8.9,10.3,12.1,14.7,17.6,11.7,439.0,520.0,650.0,800.0,1046.0,714.0,61.0,24856.0,,0.0
17,17,0,0,0,,2.0,,2.0,2.0,7.5,9.0,10.4,11.9,14.4,10.5,647.0,750.0,950.0,1212.0,1411.0,1024.0,97.0,3766.0,,0.0
18,18,0,0,0,,2.0,,2.0,8.0,11.8,13.4,16.7,20.4,24.0,16.4,339.0,386.0,450.0,500.0,552.0,446.0,27.0,4092.0,,0.0
19,19,0,0,0,,2.0,,2.0,9.0,10.0,11.5,13.5,15.6,17.8,13.4,447.0,498.0,563.0,647.0,717.0,574.0,43.0,8583.0,,0.0
20,20,0,0,0,,2.0,,2.0,10.0,8.6,10.0,11.3,12.9,14.5,11.2,559.0,635.0,720.0,810.0,950.0,735.0,66.0,8415.0,,0.0
21,21,0,0,0,,,1.0,,,8.9,10.3,12.4,15.0,17.9,11.7,410.0,498.0,600.0,730.0,928.0,647.0,55.0,10708.0,,0.0
22,22,0,0,0,,2.0,1.0,,2.0,6.7,8.4,10.0,11.3,14.2,9.8,595.0,770.0,985.0,1212.0,1400.0,1006.0,102.0,1149.0,,0.0
23,23,0,0,0,,2.0,1.0,,8.0,11.8,13.1,15.8,20.4,24.0,15.9,343.0,387.0,450.0,509.0,550.0,446.0,28.0,2341.0,,0.0
24,24,0,0,0,,2.0,1.0,,9.0,10.0,11.3,13.4,15.5,17.6,13.3,435.0,488.0,550.0,620.0,700.0,560.0,42.0,4380.0,,0.0
25,25,0,0,0,,2.0,1.0,,10.0,8.3,9.8,11.0,12.7,14.0,10.9,565.0,614.0,691.0,780.0,887.0,706.0,65.0,2838.0,,0.0
26,26,0,0,0,,,1.0,1.0,,10.0,11.6,13.8,16.1,18.6,13.0,450.0,520.0,610.0,750.0,965.0,680.0,52.0,2530.0,,0.0
27,27,0,0,0,,1.0,1.0,1.0,1.0,8.3,10.9,13.2,14.6,16.4,12.5,551.0,600.0,690.0,950.0,1003.0,781.0,62.0,79.0,,0.0
28,28,0,0,0,,1.0,1.0,1.0,3.0,8.1,9.7,14.0,14.0,14.8,12.1,1087.0,1100.0,1230.0,1400.0,1400.0,1297.0,107.0,59.0,,0.0
29,29,0,0,0,,3.0,1.0,1.0,4.0,12.7,13.8,16.7,21.3,25.3,16.7,360.0,400.0,460.0,539.0,600.0,470.0,28.0,622.0,,0.0
30,30,0,0,0,,3.0,1.0,1.0,5.0,11.5,12.8,14.2,16.2,18.1,14.4,460.0,510.0,565.0,650.0,720.0,581.0,40.0,1015.0,,0.0
31,31,0,0,0,,3.0,1.0,1.0,6.0,9.1,10.0,11.6,13.3,15.2,11.6,600.0,650.0,710.0,795.0,910.0,736.0,63.0,596.0,,0.0
32,32,0,0,0,,3.0,1.0,1.0,7.0,7.3,9.9,11.0,13.3,15.3,11.0,780.0,808.0,940.0,1280.0,1650.0,1100.0,100.0,159.0,,0.0
33,33,0,0,0,,,1.0,2.0,,8.6,10.0,11.8,14.7,17.6,11.3,400.0,490.0,600.0,725.0,900.0,636.0,56.0,8178.0,,0.0
